30020_3021	[91.0, 40.0, 10.0, 41]
11211_2301	[105.0, 49.0, 6.0, 50]
23220_3012	[117.0, 53.0, 14.0, 50]
22111_0132	[100.0, 42.0, 8.0, 50]
30110_3102	[113.0, 47.0, 16.0, 50]
23111_0123	[106.0, 46.0, 10.0, 50]
10133_3120	[107.0, 46.0, 11.0, 50]
01211_3021	[95.0, 43.0, 11.0, 41]
30333_0321	[102.0, 48.0, 4.0, 50]
31101_2301	[102.0, 42.0, 10.0, 50]
13212_1230	[108.0, 50.0, 8.0, 50]
01013_3120	[85.0, 37.0, 16.0, 32]
33323_3201	[94.0, 40, 4.0, 50]
33101_1320	[106.0, 46.0, 10.0, 50]
13023_0123	[99.0, 42.0, 16.0, 41]
13123_0123	[111.0, 45.0, 16.0, 50]
20323_0132	[108.0, 50.0, 8.0, 50]
13131_2031	[106.0, 48.0, 8.0, 50]
30330_2301	[119.0, 55.0, 14.0, 50]
12333_2130	[108.0, 48.0, 10.0, 50]
10010_0312	[86.0, 37.0, 8.0, 41]
23013_1302	[99.0, 44.0, 14.0, 41]
10030_1302	[91.0, 40.0, 10.0, 41]
32303_0213	[110.0, 44.0, 16.0, 50]
12222_1302	[114.0, 56.0, 8.0, 50]
30011_2103	[87.0, 38.0, 8.0, 41]
11110_3102	[107.0, 51.0, 6.0, 50]
32302_1230	[121.0, 55.0, 16.0, 50]
13132_2310	[119.0, 53.0, 16.0, 50]
23301_1302	[105.0, 46.0, 9.0, 50]
32322_0123	[107.0, 50.0, 7.0, 50]
31231_2013	[113.0, 52.0, 11.0, 50]
23321_1320	[103.0, 47.0, 6.0, 50]
23203_3012	[121.0, 55.0, 16.0, 50]
01301_0123	[89.0, 38.0, 10.0, 41]
33033_0312	[84.0, 40, 3.0, 41]
22001_2310	[92.0, 40.0, 11.0, 41]
20022_3102	[87.0, 40.0, 6.0, 41]
23312_1032	[107.0, 46.0, 11.0, 50]
33200_0231	[103.0, 45.0, 8.0, 50]
21310_1023	[113.0, 51.0, 12.0, 50]
12001_0132	[95.0, 41.0, 13.0, 41]
22231_2031	[101.0, 43.0, 8.0, 50]
23120_3201	[113.0, 52.0, 11.0, 50]
00102_3102	[87.0, 37.0, 9.0, 41]
33202_1302	[102.0, 44.0, 8.0, 50]
30110_2031	[113.0, 52.0, 11.0, 50]
33301_3102	[101.0, 43.0, 8.0, 50]
02100_3102	[91.0, 42.0, 8.0, 41]
32313_0231	[110.0, 44.0, 16.0, 50]
23320_2301	[103.0, 47.0, 6.0, 50]
11213_2310	[105.0, 46.0, 9.0, 50]
02130_0213	[99.0, 43.0, 15.0, 41]
12331_0213	[113.0, 50.0, 13.0, 50]
13303_1023	[106.0, 46.0, 10.0, 50]
23123_2301	[107.0, 47.0, 10.0, 50]
20232_3102	[114.0, 52.0, 12.0, 50]
22302_3021	[109.0, 49.0, 10.0, 50]
31200_2301	[113.0, 50.0, 13.0, 50]
13322_3012	[103.0, 47.0, 6.0, 50]
33102_2130	[103.0, 45.0, 8.0, 50]
20212_2310	[118.0, 52.0, 16.0, 50]
33111_3102	[104.0, 46.0, 8.0, 50]
03202_2031	[90.0, 39.0, 10.0, 41]
10333_0123	[110.0, 50.0, 10.0, 50]
22211_3120	[99.0, 43.0, 6.0, 50]
32123_0213	[117.0, 50.0, 17.0, 50]
33203_2301	[107.0, 46.0, 11.0, 50]
32213_1230	[109.0, 49.0, 10.0, 50]
22030_2301	[89.0, 40.0, 8.0, 41]
23011_1302	[95.0, 42.0, 12.0, 41]
11301_2301	[103.0, 43.0, 10.0, 50]
33001_1203	[93.0, 38.0, 14.0, 41]
10222_3120	[106.0, 46.0, 10.0, 50]
22131_1302	[104.0, 46.0, 8.0, 50]
23011_1023	[89.0, 39.0, 9.0, 41]
20201_2301	[111.0, 51.0, 10.0, 50]
30310_2301	[121.0, 55.0, 16.0, 50]
00200_1203	[81.0, 37.0, 3.0, 41]
20131_1230	[112.0, 48.0, 14.0, 50]
03122_3201	[95.0, 41.0, 13.0, 41]
32010_1032	[89.0, 38.0, 10.0, 41]
10322_1032	[113.0, 52.0, 11.0, 50]
13320_3012	[105.0, 46.0, 9.0, 50]
03232_1023	[90.0, 37.0, 12.0, 41]
12033_0123	[97.0, 44.0, 12.0, 41]
23323_3210	[98.0, 44.0, 4.0, 50]
31012_3021	[100.0, 48.0, 11.0, 41]
22232_1320	[94.0, 40, 4.0, 50]
00113_3210	[85.0, 37.0, 7.0, 41]
10130_3210	[111.0, 50.0, 11.0, 50]
33133_3201	[105.0, 49.0, 6.0, 50]
20321_0213	[113.0, 52.0, 11.0, 50]
30002_2013	[101.0, 50.0, 10.0, 41]
12302_1302	[115.0, 52.0, 13.0, 50]
13121_1023	[114.0, 52.0, 12.0, 50]
31212_2013	[112.0, 50.0, 12.0, 50]
22123_3021	[103.0, 46.0, 7.0, 50]
02212_1023	[86.0, 37.0, 8.0, 41]
